id,scenario,industry,user_stage,cv_path,target_jd_file_path,cv_template_path,expected_missing_fields,expected_conflicts
S1-PRD-DOCX-JD-TEXT-001,scenario1,product_research,experienced,files/cv/cv_product_pm.docx,,files/templates/template_compact.docx,[],[]
S1-FIN-PDF-JD-PNG-002,scenario1,finance,experienced,files/cv/cv_finance_bank.pdf,files/jd/jd_finance_risk.png,,[],[]
S1-TEA-PNG-JD-DOCX-003,scenario1,teacher,experienced,files/cv/cv_teacher.png,files/jd/jd_teacher.docx,files/templates/template_blue.png,[],[]
S1-DOC-PDF-JD-PDF-004,scenario1,doctor,experienced,files/cv/cv_doctor.pdf,files/jd/jd_doctor.pdf,,[],[]
S1-OPS-DOCX-JD-TEXT-005,scenario1,operations,experienced,files/cv/cv_operations.docx,,,[],[]
S1-SAL-DOCX-JD-TEXT-006,scenario1,sales_presale,experienced,files/cv/cv_sales.docx,,,[],[]
S1-DES-PNG-JD-TEXT-007,scenario1,design,experienced,files/cv/cv_design.png,,files/templates/template_modern.docx,[],[]
S1-EDU-DOCX-JD-TEXT-008,scenario1,education,experienced,files/cv/cv_teacher.docx,,,[],[]
S1-OTHER-DOCX-JD-TEXT-009,scenario1,other,experienced,files/cv/cv_operations.docx,,,[],[]
S1-FIN-DOCX-JD-DOCX-010,scenario1,finance,experienced,files/cv/cv_finance_bank.docx,files/jd/jd_finance_risk.docx,,[],[]
S1-PRD-PNG-JD-PDF-011,scenario1,product_research,experienced,files/cv/cv_product_pm.png,files/jd/jd_product_pm.pdf,,[],[]
S1-DOC-DOCX-JD-TEXT-012,scenario1,doctor,experienced,files/cv/cv_doctor.docx,,,[],[]
S2-STU-OPS-QUERY-013,scenario2,operations,student,,,,[],[]
S2-STU-PRD-QUERY-014,scenario2,product_research,student,,,,[],[]
S2-EXP-FIN-QUERY-015,scenario2,finance,experienced,,,,"[""skills""]",[]
S2-TEA-MISSING-016,scenario2,teacher,student,,,,"[""name"", ""phone"", ""email"", ""education.school"", ""education.period"", ""skills""]",[]
S2-DOC-MISSING-017,scenario2,doctor,experienced,,,,"[""name"", ""phone"", ""email"", ""education.school"", ""experience.period"", ""skills""]",[]
S2-DES-QUERY-018,scenario2,design,student,,,,[],[]
S2-SAL-QUERY-019,scenario2,sales_presale,experienced,,,,[],[]
S2-EDU-QUERY-020,scenario2,education,experienced,,,,[],[]
S2-OPS-CONFLICT-021,scenario2,operations,experienced,,,,"[""skills""]","[""experience_time_overlap""]"
S2-PRD-NO-PHONE-022,scenario2,product_research,experienced,,,,"[""phone"", ""skills""]",[]
S2-FIN-NO-EMAIL-023,scenario2,finance,experienced,,,,"[""email"", ""experience.period"", ""skills""]",[]
S2-OTHER-QUERY-024,scenario2,other,experienced,,,,[],[]
S3-PRD-CV-DOCX-025,scenario3,product_research,experienced,files/cv/cv_product_pm.docx,,,[],[]
S3-OPS-CV-PDF-026,scenario3,operations,experienced,files/cv/cv_operations.pdf,,,[],[]
S3-TEA-CV-PNG-027,scenario3,teacher,experienced,files/cv/cv_teacher.png,,,[],[]
S3-DOC-CV-DOCX-028,scenario3,doctor,experienced,files/cv/cv_doctor.docx,,,[],[]
S3-FIN-CV-DOCX-029,scenario3,finance,experienced,files/cv/cv_finance_bank.docx,,,[],[]
S3-SAL-CV-PDF-030,scenario3,sales_presale,experienced,files/cv/cv_sales.pdf,,,[],[]
S3-DES-CV-PNG-031,scenario3,design,experienced,files/cv/cv_design.png,,,[],[]
S3-EDU-CV-DOCX-032,scenario3,education,experienced,files/cv/cv_teacher.docx,,,[],[]
S3-PRD-TEMPLATE-033,scenario3,product_research,experienced,files/cv/cv_product_pm.pdf,,files/templates/template_modern.docx,[],[]
S3-FIN-TEMPLATE-PDF-034,scenario3,finance,experienced,files/cv/cv_finance_bank.png,,files/templates/template_minimal.pdf,[],[]
S3-TEA-MISSING-035,scenario3,teacher,experienced,files/cv/cv_teacher.docx,,,[],[]
S3-OTHER-CV-036,scenario3,other,experienced,files/cv/cv_operations.docx,,,[],[]
S4-PRD-JD-DOCX-037,scenario4,product_research,student,,files/jd/jd_product_pm.docx,,[],[]
S4-OPS-JD-PNG-038,scenario4,operations,student,,files/jd/jd_operations.png,,[],[]
S4-FIN-JD-TEXT-039,scenario4,finance,experienced,,,,[],[]
S4-TEA-JD-PDF-040,scenario4,teacher,student,,files/jd/jd_teacher.pdf,,[],[]
S4-DOC-JD-TEXT-041,scenario4,doctor,experienced,,,,"[""education.school"", ""education.period""]",[]
S4-SAL-JD-DOCX-042,scenario4,sales_presale,experienced,,files/jd/jd_sales.docx,,[],[]
S4-DES-JD-TEXT-043,scenario4,design,student,,,,[],[]
S4-EDU-JD-PNG-044,scenario4,education,experienced,,files/jd/jd_education_ops.png,,[],[]
S4-PRD-MISSING-045,scenario4,product_research,student,,,,"[""name"", ""phone"", ""email"", ""education.school"", ""education.period"", ""skills""]",[]
S4-FIN-CONFLICT-046,scenario4,finance,experienced,,,,[],"[""experience_time_overlap""]"
S4-TEA-TEMPLATE-047,scenario4,teacher,student,,files/jd/jd_teacher.png,files/templates/template_blue.png,[],[]
S4-OTHER-JD-TEXT-048,scenario4,other,experienced,,,,[],[]
